Patient,Slice,Feature_2,Feature_27,Feature_280,Feature_435,Feature_446,Feature_800,Feature_1431,Feature_910,Feature_644,Feature_60,Feature_943,Feature_1351,Feature_1292,Feature_328,Feature_91,Feature_76,Feature_1503,Feature_1124,Feature_675,wavelet-LH_firstorder_Uniformity,wavelet-LH_glcm_Correlation,wavelet-HL_gldm_DependenceVariance,wavelet-LH_gldm_DependenceVariance,original_shape2D_MinorAxisLength,original_firstorder_10Percentile
17.0,174.0,0.25752306,0.73082846,0.28292096,0.22661084,0.47546494,0.15666142,0.12456493,0.18653005,0.45036438,0.0020968616,0.078612864,0.33951828,0.096251205,0.51008385,0.41503257,0.20823546,0.18760747,0.82187366,0.17282605,0.1286126460951635,0.5490448231697626,1.954227590591227,1.8730500268961805,15.362284188647752,1.5
19.0,141.0,0.2971847,0.993169,0.4414158,0.49683964,0.66569877,0.19638631,0.0,0.11357367,0.32933912,0.07839562,0.3328601,0.3450664,0.08747788,0.6072743,0.5635429,0.029257089,0.19363987,0.9661381,0.2559737,0.0658973056388923,0.5914035576380969,1.4081990625808738,1.9651487122468343,19.04356750659486,30.00000000000001
19.0,142.0,0.28494287,1.0031056,0.43583405,0.48751515,0.6876013,0.22549027,0.0,0.12628317,0.30772758,0.044256166,0.32007396,0.3552049,0.098933876,0.6029416,0.56899124,0.03132543,0.23642582,0.9621248,0.25478923,0.0552847365702479,0.6159274693877897,0.7489346590909091,1.4860537190082646,20.045703336915743,43.2
19.0,143.0,0.2885114,1.0132904,0.43888795,0.48635882,0.652939,0.18282905,0.0,0.102656424,0.3665304,0.04737629,0.3380376,0.3773431,0.09969124,0.60087305,0.5763872,0.0,0.21136075,0.98164105,0.2670082,0.0594048318916043,0.6130776358847895,1.8393941938915483,1.1390778533635677,20.38186560744549,60.0
19.0,144.0,0.30024147,1.037075,0.51293933,0.47939742,0.61845934,0.16418704,0.0,0.07121697,0.41600254,0.11170018,0.3895803,0.37952146,0.10513446,0.6088437,0.6244224,0.012470633,0.18964612,1.0044291,0.28014624,0.0601813333333333,0.5626789073499596,1.4615182222222225,1.5486862222222222,20.281868119064228,47.4
19.0,145.0,0.30789626,1.0166085,0.5404179,0.4719265,0.58794874,0.17220461,0.0,0.06432366,0.45770547,0.12701455,0.35772854,0.40404984,0.08747016,0.5827579,0.6261694,0.069628716,0.18880063,0.98755276,0.36648524,0.0653326600176745,0.5253018199174591,1.3563943946471406,1.3268526701174097,19.84943741847171,55.5
22.0,207.0,0.26275468,0.96150726,0.43648195,0.53148925,0.34329498,0.20741093,0.10176736,0.23478538,0.23160759,0.0,0.24972641,0.32002756,0.03664334,0.65286744,0.5552209,0.04516548,0.20407349,0.8080369,0.20665944,0.0862057752341311,0.5494099260455592,3.144494667013527,2.173630983350676,27.7972282134028,27.0
22.0,208.0,0.271083,0.88276666,0.47242284,0.44515574,0.45985717,0.2427966,0.07387499,0.21686053,0.22881955,0.0,0.24680668,0.34086236,0.026331127,0.63795316,0.45304805,0.040139675,0.19265443,0.8500649,0.2751156,0.0752970289649826,0.5805787459809325,3.0755206392272028,2.3770963462083152,27.886145273544457,30.0
22.0,209.0,0.24489653,0.91329676,0.48668945,0.43837035,0.40584564,0.24960637,0.11041585,0.18585902,0.29419562,0.0,0.26684397,0.35811064,0.061796993,0.61198556,0.41288537,0.103446424,0.21938235,0.76019526,0.24435925,0.0920310819039085,0.5792789709402458,3.2169959838343813,3.672447463316602,28.76569963179005,38.0
22.0,210.0,0.23077428,0.808577,0.37165397,0.36512893,0.43422037,0.20645139,0.1815407,0.19431382,0.28829056,0.0,0.2383827,0.3163484,0.055988953,0.58906543,0.41813487,0.13857055,0.19730961,0.75095594,0.23539126,0.1065760829863393,0.5410441012243835,4.319953247132735,3.1705340054058,28.099959370235517,42.400000000000006
22.0,211.0,0.23405242,0.7486469,0.2219637,0.20729607,0.386967,0.2043944,0.20150056,0.18443573,0.28266907,0.0,0.030900955,0.30627403,0.050941125,0.56563485,0.42089564,0.20816714,0.1799221,0.7032962,0.23886085,0.1295080053899776,0.4901779540441087,4.276066589565936,2.987872550371887,27.41979685970727,47.0
23.0,258.0,0.18342364,0.52661383,0.18679476,0.24435014,0.30854464,0.20023713,0.23603594,0.17289013,0.3387231,0.059462413,0.016854346,0.30512372,0.0,0.57576543,0.43127042,0.18740919,0.17252338,0.6662257,0.26590848,0.4184243460211837,0.4396511069200739,3.7236653337810206,2.934098470742652,20.597775757898827,37.1
23.0,259.0,0.18181181,0.5905953,0.18426877,0.24634016,0.3072204,0.2204296,0.23071839,0.17334169,0.34962484,0.10327411,0.014997661,0.3086119,0.0,0.57043934,0.43173867,0.18643014,0.17239809,0.6629473,0.26502287,0.408137326515705,0.4550013929791334,3.0489408327246164,3.105478451424398,20.979144153926505,42.0
23.0,260.0,0.1866324,0.6857748,0.20287627,0.25827622,0.32206893,0.27292898,0.2451312,0.16971952,0.36112544,0.12432492,0.053986013,0.3244274,0.0,0.574036,0.43379778,0.1864053,0.18490762,0.67277336,0.28463256,0.3790577777777777,0.4298475077589395,3.2172373333333337,3.6461795555555554,21.416119520873803,40.0
