Paziente,752,1912,1923,1943,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
5,0.14936717,0.23159404,0.10814331,0.0,3.9291420434318254,2.52368814524742,0.9309192449340354,27.39268689868377
12,0.1620387,0.21330145,0.14257178,0.13298452,3.355010730968312,3.6943315237975,0.9403701482594408,34.88607194513267
15,0.1970835,0.2444208,0.12841392,0.095604405,4.234633859425546,4.850872463483972,0.9624239014853684,66.77125996265471
16,0.1760829,0.2125545,0.13844314,0.10164291,4.160480980460169,2.6852815354376225,0.9414332823354294,23.49083411281138
17,0.22754231,0.23532943,0.10144986,0.106311455,1.7450406665344178,1.6546320174568538,0.9341139093525214,23.949137584091645
19,0.2126855,0.2038511,0.071386285,0.12668325,1.3268526701174097,1.3563943946471406,0.9142948346795404,18.31214987411389
22,0.19370028,0.2021918,0.13798146,0.12190791,3.799574861544035,3.511167033658384,0.9359482030316564,65.51070904081634
23,0.21094787,0.25724724,0.13045283,0.10782014,3.898340848653024,4.128569776852816,0.9388465029337936,52.79015546625002
24,0.0007053252,0.42746478,0.10730255,0.0,3.24816513212246,3.122113001520576,0.9346577295707232,52.82330854482411
25,0.22756524,0.21624681,0.10329682,0.11780648,1.848939763557891,2.4668324263464063,0.9199390845679392,21.311952572193537
26,0.18409908,0.22717106,0.1305956,0.13106212,1.488994646044021,1.2986317668054728,0.8942860422771632,22.99355221984012
27,0.18720615,0.27663118,0.08034043,0.06962848,2.0394879737933738,2.8599682307955554,0.9344392262567924,52.98544890593295
29,0.20804062,0.21675403,0.1275091,0.12341523,4.044443850285252,3.5973249467763337,0.9315289611293652,39.69125427054971
30,0.073988795,0.15941516,0.1468491,0.1406832,1.9997959183673475,0.9581632653061224,0.911688208065596,17.57034218438529
31,0.20855002,0.23265001,0.08801809,0.14185643,1.5659464450600185,1.4003570329332102,0.9056549928478016,12.25792298086151
33,0.19362372,0.24587259,0.12422826,0.08914353,4.296364226679047,4.548681085206851,0.9509208003971644,90.6299104713213
35,0.19327432,0.20048809,0.10296959,0.08604112,1.9138965835641737,2.7433056325023086,0.9299312617129912,25.437758966420706
36,0.20269504,0.20706204,0.08852957,0.052695375,2.6669376668729963,2.297188680814109,0.9459252857301176,37.40094478092042
38,0.17626786,0.2270492,0.14285031,0.10622989,4.081736775662116,3.8189964743820353,0.9312082999876398,72.26996384065792
39,0.20488921,0.24864943,0.11762122,0.08919656,3.184625078764965,4.104127284183995,0.934983234825402,43.52469859371877
40,0.16411911,0.1878571,0.14205085,0.15031597,2.1952545940967503,2.423358624621727,0.9382458974692588,26.294704357334854
41,0.19857438,0.24726884,0.107790515,0.10119835,3.30594690403889,3.639275893078236,0.9210363536342456,30.90501244388865
42,0.19931367,0.30168316,0.07298298,0.0,3.5329410873462788,3.606727102850938,0.9259408630169356,27.682704117302496
43,0.24577422,0.40386057,0.037877925,0.0,3.5102011545770737,2.9547133278353472,0.9287376541240822,30.82180281071585
44,0.21694061,0.19756922,0.046366997,0.103955105,1.3481,1.3041,0.917096076788918,22.78986095693928
46,0.13584325,0.1845049,0.13815854,0.12944815,3.623805792073541,4.746858737859803,0.9539721753699162,34.67153633765198
47,0.17744535,0.18896979,0.12948291,0.10957328,3.0243230251562245,2.7545842012498,0.9323555028205216,47.21812498457704
48,0.19661963,0.24468999,0.114635326,0.09757585,2.6327370396515213,2.3567776036913965,0.9257462825044676,26.127250942087336
50,0.2291842,0.23425512,0.10912319,0.08881129,1.900414737654321,2.444396219135802,0.9191117088346974,27.15607837731662
52,0.21989754,0.24174733,0.11693843,0.07954467,4.003665263463493,3.821989766294093,0.9468349311142172,85.77730040265791
53,0.23221889,0.22049205,0.1030751,0.08717404,2.018681200473305,3.239090680913622,0.9238619180453193,23.277641378764287
54,0.21253538,0.25215787,0.101384304,0.086048275,4.024436755094195,4.350726643598616,0.94642861561911,61.95250471622135
56,0.19332328,0.24310818,0.10972764,0.09982314,3.247907495814992,2.5262105524211047,0.923049349441564,39.40099735918172
57,0.23396811,0.26106212,0.10436896,0.097458474,4.567245180620724,5.585165922324608,0.9498850958631188,24.10777102432832
58,0.1938068,0.190803,0.1191711,0.1210186,1.8552154195011337,2.287891156462585,0.9369170563227228,33.74801026292421
59,0.14067607,0.20215861,0.09659727,0.09925677,3.2401235173022256,4.821904715223997,0.9546133389380178,48.660075697796366
60,0.18893221,0.24356923,0.13371007,0.10372224,4.162078841958728,4.895881891737648,0.9451997602496632,53.2245233026687
61,0.20558675,0.1914237,0.15161785,0.15847667,3.0335683077338857,3.8350186928516736,0.938775693112606,50.62324372826803
62,0.18317221,0.20702252,0.11003339,0.09789794,3.714379105912514,4.186803396891524,0.9401022378722974,40.71155662775966
64,0.21337306,0.23679277,0.10922869,0.09331559,4.128813701973656,3.7865028265230256,0.9322202956951844,71.85878981104007
