Paziente,105,620,333,741,wavelet-LH_gldm_DependenceVariance,wavelet-HL_gldm_DependenceVariance,wavelet-HL_glcm_Idn,wavelet-HL_glrlm_GrayLevelNonUniformity
33,40.894005,9.509405,6.237982,10.768932,4.296364226679047,4.548681085206851,0.9509208003971644,90.6299104713213
35,41.07212,14.857285,4.8116913,6.704535,1.9138965835641737,2.7433056325023086,0.9299312617129912,25.437758966420706
36,48.068485,8.489116,3.076919,9.19552,2.6669376668729963,2.297188680814109,0.9459252857301176,37.40094478092042
38,36.876476,1.2451131,0.69132286,9.421792,4.081736775662116,3.8189964743820353,0.9312082999876398,72.26996384065792
39,51.59383,13.981374,2.6188405,5.87778,3.184625078764965,4.104127284183995,0.934983234825402,43.52469859371877
40,44.007507,22.318779,1.9241459,8.18046,2.1952545940967503,2.423358624621727,0.9382458974692588,26.29470435733485
41,47.239956,9.555222,4.428772,4.339454,3.30594690403889,3.639275893078236,0.9210363536342456,30.90501244388865
42,15.467965,4.1597786,12.429593,3.366961,3.5329410873462788,3.606727102850938,0.9259408630169356,27.682704117302496
43,16.385096,1.4145672,11.603871,9.820419,3.5102011545770737,2.9547133278353472,0.9287376541240822,30.82180281071585
44,37.44421,24.225937,0.97832197,14.54,1.3481,1.3041,0.917096076788918,22.78986095693928
46,34.546295,11.817445,8.747776,9.733375,3.623805792073541,4.746858737859803,0.9539721753699162,34.67153633765198
47,39.32793,20.185791,1.9908378,8.331518,3.0243230251562245,2.7545842012498,0.9323555028205216,47.21812498457704
48,40.13779,22.88995,0.5336735,12.90951,2.6327370396515213,2.3567776036913965,0.9257462825044676,26.127250942087336
50,38.690403,1.5482771,4.338928,5.315168,1.900414737654321,2.444396219135802,0.9191117088346974,27.15607837731662
52,35.649006,6.9593115,3.2699614,6.188884,4.003665263463493,3.821989766294093,0.9468349311142172,85.77730040265791
53,49.47276,5.8333063,3.5880618,4.2342997,2.018681200473305,3.239090680913622,0.9238619180453193,23.277641378764287
54,40.309452,4.7050133,1.4842682,7.5031433,4.024436755094195,4.350726643598616,0.94642861561911,61.95250471622135
56,36.14459,2.3350403,2.7212214,12.25152,3.247907495814992,2.5262105524211047,0.923049349441564,39.40099735918172
57,45.026375,11.900437,7.0669537,7.3439527,4.567245180620724,5.585165922324608,0.9498850958631188,24.10777102432832
58,52.1568,8.707931,1.4745717,2.5002003,1.8552154195011337,2.287891156462585,0.9369170563227228,33.74801026292421
59,43.19917,10.101786,7.2299523,5.2466726,3.2401235173022256,4.821904715223997,0.9546133389380178,48.660075697796366
60,47.13702,7.7591014,0.8522847,6.212423,4.162078841958728,4.895881891737648,0.9451997602496632,53.2245233026687
61,37.792797,13.352109,2.2017426,5.5434923,3.0335683077338857,3.8350186928516736,0.938775693112606,50.62324372826803
62,40.37349,7.905454,7.2637215,7.226725,3.714379105912514,4.186803396891524,0.9401022378722974,40.71155662775966
64,35.01714,1.6843219,2.1242082,12.787729,4.128813701973656,3.7865028265230256,0.9322202956951844,71.85878981104007
65,9.844302,6.027648,0.078143775,21.539677,3.337819793836458,3.2115579768199543,0.9419478344340716,37.34695649646071
68,47.50402,21.965363,1.6972806,9.784393,1.914731613523474,1.4555359717993912,0.9227813697146388,21.60670221430609
69,42.87001,7.206101,3.533081,8.625672,3.986594458534353,4.145725672660705,0.9510561694592315,64.60498519925105
70,16.056446,1.4456475,19.348593,19.543615,3.4982642146744234,3.678222931131544,0.9520855549071804,30.67742029810653
71,37.87338,3.5095406,1.639193,9.095103,4.477230933962337,5.174975364871471,0.9686312152097456,48.70236727640415
74,17.075123,1.7369986,0.75895756,22.805412,2.595449175088611,2.0753087574055025,0.9073764609042364,39.3076168397047
75,32.864346,4.0373516,6.5557213,10.887567,4.275497927516208,5.098582208523754,0.9487388398731184,56.70604563645827
76,19.880672,1.8885448,8.496671,4.045505,3.3822265928264583,3.583458413125615,0.9290697861252488,43.245008754686175
78,51.413628,1.74052,2.901,8.600589,2.64764528400892,2.0508611157961805,0.9250708111693852,48.62082090122192
79,35.6634,1.2140033,3.192558,6.2051497,4.276668402499599,4.376972840890883,0.9541989947092804,64.8329261152096
81,37.000652,2.512365,2.1897695,9.283478,3.098348348348348,2.353096339582826,0.9256010528885532,38.124274310437904
82,46.293697,12.405829,4.3055744,5.447413,3.204838630366012,1.979183399170614,0.8940564626118581,34.05449117223396
